Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
482,16.06,3,18.00,5.53,32.30,0.5990,medio,No
484,16.13,4,24.00,7.32,32.75,0.6440,alto,No
486,16.20,3,24.00,8.00,33.04,0.6290,alto,No
488,16.26,3,24.00,7.00,32.52,0.6470,alto,No
490,16.33,4,24.00,7.10,33.03,0.6470,alto,No
492,16.40,3,24.00,5.60,32.85,0.6530,alto,No
494,16.46,3,18.00,3.42,32.72,0.6120,alto,No
496,16.53,3,18.00,3.15,32.89,0.6140,alto,No
498,16.60,4,24.00,2.78,32.30,0.6640,alto,No
500,16.66,4,24.00,3.71,32.34,0.6600,alto,No
502,16.73,3,24.00,3.72,32.44,0.6600,alto,No
504,16.80,2,24.00,4.54,0.03,0.5810,medio,No
506,16.86,3,24.00,4.35,32.76,0.6580,alto,No
508,16.93,3,24.00,4.47,32.37,0.6570,alto,No
510,17.00,4,24.00,4.05,32.64,0.6590,alto,No
512,17.06,4,24.00,2.75,32.94,0.6650,alto,No
514,17.13,3,24.00,3.02,32.82,0.6640,alto,No
516,17.20,4,24.00,2.88,32.84,0.6650,alto,No
518,17.26,3,18.00,2.43,32.52,0.6160,alto,No
520,17.33,3,6.00,1.80,32.48,0.5180,medio,No
522,17.40,3,6.00,1.31,32.90,0.5210,medio,No
524,17.46,3,6.00,1.68,32.81,0.5200,medio,No
526,17.53,4,12.00,2.51,32.48,0.5650,medio,No
528,17.60,4,24.00,3.33,32.63,0.6620,alto,No
530,17.66,4,24.00,3.41,33.03,0.6630,alto,No
532,17.73,3,12.00,2.47,33.02,0.5670,medio,No
534,17.80,2,18.00,3.03,33.09,0.6150,alto,No
536,17.86,3,24.00,4.23,32.82,0.6590,alto,No
538,17.93,3,24.00,5.14,32.94,0.6550,alto,No
540,18.00,4,24.00,5.74,33.40,0.6540,alto,No
542,18.06,3,24.00,6.48,33.38,0.6510,alto,No
544,18.13,3,24.00,7.31,33.28,0.6450,alto,No
546,18.20,4,24.00,6.84,32.69,0.6480,alto,No
548,18.26,2,24.00,5.69,32.44,0.6520,alto,No
550,18.33,3,18.00,2.87,32.83,0.6150,alto,No
552,18.40,3,18.00,3.69,33.28,0.6120,alto,No
554,18.46,3,6.00,1.81,32.56,0.5180,medio,No
556,18.53,3,0.00,0.90,32.66,0.3220,medio,No
558,18.60,3,12.00,4.35,32.30,0.5310,medio,No
560,18.66,3,12.00,3.74,32.70,0.5550,medio,No
562,18.73,3,12.00,4.99,32.21,0.5130,medio,No
564,18.80,3,12.00,3.62,32.40,0.5600,medio,No
566,18.86,4,6.00,2.38,33.19,0.4810,medio,No
568,18.93,3,12.00,2.54,32.69,0.5660,medio,No
570,19.00,3,18.00,6.06,32.63,0.5840,medio,No
572,19.06,3,18.00,4.98,32.41,0.6050,alto,No
574,19.13,3,18.00,3.74,32.98,0.6110,alto,No
576,19.20,4,18.00,4.08,32.95,0.6100,alto,No
578,19.26,2,6.00,1.54,0.02,0.4440,medio,No
580,19.33,3,18.00,2.84,32.98,0.6150,alto,No
582,19.40,3,18.00,2.43,33.17,0.6170,alto,No
584,19.46,2,12.00,2.11,0.02,0.4910,medio,No
586,19.53,3,18.00,2.83,32.57,0.6140,alto,No
588,19.60,3,6.00,1.99,32.97,0.5040,medio,No
590,19.66,2,12.00,3.04,33.24,0.5650,medio,No
592,19.73,3,6.00,1.82,32.77,0.5170,medio,No
594,19.80,3,6.00,1.54,32.71,0.5200,medio,No
596,19.86,3,0.00,1.06,32.63,0.3220,medio,No
598,19.93,3,0.00,1.27,33.19,0.3220,medio,No
600,20.00,3,18.00,2.42,33.33,0.6180,alto,No
602,20.06,3,18.00,3.26,33.27,0.6140,alto,No
604,20.13,3,18.00,3.67,32.62,0.6110,alto,No
606,20.20,2,12.00,2.63,32.63,0.5650,medio,No
608,20.26,2,18.00,2.19,32.91,0.6180,alto,No
610,20.33,2,12.00,2.55,32.52,0.5650,medio,No
612,20.40,3,12.00,2.15,32.84,0.5680,medio,No
614,20.46,3,18.00,3.10,32.88,0.6140,alto,No
616,20.53,3,18.00,2.83,33.08,0.6150,alto,No
618,20.60,4,6.00,2.19,33.21,0.4920,medio,No
620,20.66,3,6.00,2.56,32.50,0.4700,medio,No
622,20.73,3,6.00,1.99,32.72,0.5040,medio,No
624,20.80,2,12.00,1.91,33.01,0.5690,medio,No
626,20.86,3,6.00,2.00,33.22,0.5040,medio,No
628,20.93,3,6.00,2.62,33.28,0.4700,medio,No
630,21.00,3,18.00,3.48,33.38,0.6130,alto,No
632,21.06,3,12.00,2.62,33.30,0.5670,medio,No
634,21.13,2,12.00,2.63,32.94,0.5660,medio,No
636,21.20,3,6.00,1.57,32.94,0.5200,medio,No
638,21.26,3,18.00,3.46,32.64,0.6120,alto,No
640,21.33,3,18.00,4.31,32.61,0.6080,alto,No
642,21.40,3,18.00,4.28,33.28,0.6100,alto,No
644,21.46,2,18.00,5.29,32.86,0.6050,alto,No
646,21.53,3,18.00,7.53,32.46,0.5520,medio,No
648,21.60,4,18.00,8.38,32.83,0.5380,medio,No
650,21.66,2,18.00,9.39,32.82,0.5240,medio,No
652,21.73,2,18.00,9.01,32.38,0.5280,medio,No
654,21.80,2,18.00,6.99,32.95,0.5640,medio,No
656,21.86,2,18.00,4.83,32.73,0.6060,alto,No
658,21.93,2,18.00,3.52,32.48,0.6110,alto,No
660,22.00,2,6.00,2.54,32.99,0.4730,medio,No
662,22.06,3,0.00,1.65,32.62,0.3190,medio,No
664,22.13,2,12.00,2.39,32.97,0.5670,medio,No
666,22.20,3,18.00,5.55,33.46,0.6010,alto,No
668,22.26,3,18.00,6.82,33.05,0.5670,medio,No
670,22.33,3,18.00,9.00,32.57,0.5290,medio,No
672,22.40,3,18.00,9.12,32.91,0.5280,medio,No
674,22.46,3,18.00,9.00,33.09,0.5300,medio,No
676,22.53,3,18.00,9.36,32.72,0.5240,medio,No
678,22.60,3,18.00,8.72,32.43,0.5320,medio,No
680,22.66,3,18.00,6.95,32.74,0.5640,medio,No
682,22.73,2,18.00,6.20,32.68,0.5810,medio,No
684,22.80,3,18.00,5.78,32.61,0.5920,medio,No
686,22.86,2,18.00,4.72,32.48,0.6060,alto,No
688,22.93,3,12.00,3.13,32.35,0.5620,medio,No
