Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
423,14.11,24,108.00,8.60,23.67,0.6690,alto,No
424,14.15,25,102.00,8.43,23.40,0.6700,alto,No
425,14.18,25,102.00,8.47,23.40,0.6690,alto,No
426,14.21,29,102.00,8.47,23.40,0.6690,alto,No
427,14.25,25,108.00,8.65,23.40,0.6690,alto,No
428,14.28,26,102.00,8.24,23.39,0.6700,alto,No
429,14.31,26,102.00,8.22,23.40,0.6700,alto,No
430,14.35,25,102.00,7.79,23.40,0.6720,alto,No
431,14.38,25,102.00,7.74,23.40,0.6720,alto,No
432,14.41,23,108.00,7.74,23.41,0.6720,alto,No
433,14.45,26,108.00,7.71,23.41,0.6720,alto,No
434,14.48,26,102.00,7.71,23.43,0.6730,alto,No
435,14.51,28,102.00,7.87,23.68,0.6720,alto,No
436,14.55,30,108.00,7.71,23.69,0.6730,alto,No
437,14.58,30,108.00,7.84,23.68,0.6730,alto,No
438,14.61,28,114.00,8.06,23.41,0.6710,alto,No
439,14.65,28,114.00,7.96,23.41,0.6710,alto,No
440,14.68,28,114.00,8.62,23.41,0.6690,alto,No
441,14.71,25,114.00,8.52,23.40,0.6690,alto,No
442,14.75,26,108.00,8.11,23.39,0.6710,alto,No
443,14.78,26,108.00,8.17,23.39,0.6710,alto,No
444,14.81,27,108.00,8.26,23.38,0.6700,alto,No
445,14.85,24,102.00,8.00,23.38,0.6710,alto,No
446,14.88,27,102.00,7.91,23.37,0.6720,alto,No
447,14.91,29,114.00,7.97,23.37,0.6710,alto,No
448,14.95,31,114.00,7.72,23.69,0.6730,alto,No
449,14.98,30,120.00,7.51,23.71,0.6740,alto,No
450,15.02,30,120.00,7.57,23.74,0.6740,alto,No
451,15.05,28,120.00,8.04,19.80,0.6630,alto,No
452,15.08,28,126.00,8.02,19.46,0.6620,alto,No
453,15.12,30,132.00,8.07,23.76,0.6720,alto,No
454,15.15,29,126.00,8.03,23.33,0.6710,alto,No
