Frame,Tiempo(s),NumVehiculos,Flujo(veh/min)_REAL,Velocidad(km/h)_REAL,LongitudCola(m),ICV_REAL,Clasificacion,Emergencia
196,8.17,2,18.00,55.12,9.89,0.2080,bajo,No
197,8.22,1,18.00,51.31,0.00,0.2020,bajo,No
198,8.26,1,18.00,53.08,0.00,0.1940,bajo,No
199,8.30,1,18.00,54.40,0.00,0.1880,bajo,No
200,8.34,1,18.00,55.75,0.00,0.1820,bajo,No
201,8.38,1,18.00,57.14,0.00,0.1760,bajo,No
202,8.42,1,18.00,58.19,0.00,0.1710,bajo,No
203,8.47,2,12.00,49.64,8.05,0.1730,bajo,No
204,8.51,2,12.00,54.40,7.95,0.1520,bajo,No
205,8.55,2,12.00,57.20,7.98,0.1400,bajo,No
206,8.59,3,18.00,47.39,7.88,0.2380,bajo,No
207,8.63,3,18.00,69.73,7.67,0.1800,bajo,No
208,8.67,1,18.00,65.40,0.00,0.1620,bajo,No
209,8.72,2,18.00,61.90,7.70,0.1810,bajo,No
210,8.76,1,18.00,59.68,0.00,0.1650,bajo,No
211,8.80,2,18.00,57.48,0.03,0.1750,bajo,No
212,8.84,2,18.00,57.65,0.08,0.1740,bajo,No
213,8.88,2,18.00,59.87,0.02,0.1640,bajo,No
214,8.92,1,24.00,63.53,0.00,0.2170,bajo,No
215,8.97,1,24.00,52.48,0.00,0.2520,bajo,No
216,9.01,2,24.00,49.48,0.09,0.2660,bajo,No
217,9.05,2,24.00,48.92,0.10,0.2680,bajo,No
218,9.09,2,24.00,49.30,0.10,0.2670,bajo,No
219,9.13,2,24.00,48.92,0.05,0.2680,bajo,No
220,9.17,1,24.00,48.01,0.00,0.2720,bajo,No
221,9.22,1,24.00,46.60,0.00,0.2790,bajo,No
222,9.26,1,24.00,44.94,0.00,0.2870,bajo,No
223,9.30,1,24.00,43.17,0.00,0.2950,bajo,No
224,9.34,0,24.00,43.26,0.00,0.2950,bajo,No
225,9.38,0,24.00,43.58,0.00,0.2930,bajo,No
226,9.42,0,24.00,43.69,0.00,0.2930,bajo,No
227,9.47,0,18.00,31.22,0.00,0.2960,bajo,No
228,9.51,0,18.00,31.64,0.00,0.2940,bajo,No
229,9.55,0,18.00,31.58,0.00,0.2940,bajo,No
230,9.59,0,18.00,32.18,0.00,0.2910,bajo,No
231,9.63,0,18.00,32.98,0.00,0.2870,bajo,No
232,9.67,0,18.00,32.86,0.00,0.2880,bajo,No
233,9.72,0,18.00,32.86,0.00,0.2880,bajo,No
234,9.76,0,18.00,32.86,0.00,0.2880,bajo,No
235,9.80,0,18.00,32.86,0.00,0.2880,bajo,No
236,9.84,0,18.00,32.86,0.00,0.2880,bajo,No
237,9.88,0,18.00,32.86,0.00,0.2880,bajo,No
238,9.92,0,12.00,14.98,0.00,0.3240,medio,No
239,9.97,0,12.00,14.98,0.00,0.3240,medio,No
240,10.01,0,12.00,14.98,0.00,0.3240,medio,No
241,10.05,1,12.00,14.98,0.00,0.3240,medio,No
242,10.09,0,12.00,14.98,0.00,0.3240,medio,No
243,10.13,0,12.00,14.98,0.00,0.3240,medio,No
244,10.18,0,12.00,14.98,0.00,0.3240,medio,No
245,10.22,0,12.00,14.98,0.00,0.3240,medio,No
246,10.26,0,12.00,14.98,0.00,0.3240,medio,No
247,10.30,0,12.00,14.98,0.00,0.3240,medio,No
248,10.34,0,12.00,14.98,0.00,0.3240,medio,No
249,10.38,0,12.00,14.98,0.00,0.3240,medio,No
250,10.43,0,6.00,10.73,0.00,0.2800,bajo,No
251,10.47,0,6.00,10.73,0.00,0.2800,bajo,No
252,10.51,0,6.00,10.73,0.00,0.2800,bajo,No
253,10.55,0,6.00,10.73,0.00,0.2800,bajo,No
254,10.59,0,0.00,0.00,0.00,0.4000,medio,No
255,10.63,0,0.00,0.00,0.00,0.4000,medio,No
256,10.68,0,0.00,0.00,0.00,0.4000,medio,No
257,10.72,0,0.00,0.00,0.00,0.4000,medio,No
258,10.76,0,0.00,0.00,0.00,0.4000,medio,No
259,10.80,0,0.00,0.00,0.00,0.4000,medio,No
260,10.84,0,0.00,0.00,0.00,0.4000,medio,No
